               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025995,            0.025063,           0.0028619,             0.85391,             0.88723,             0.93432,             0.62014,            0.026136,            0.018227,            0.002607,             0.00307,             0.00307,             0.00307
                  37,            0.026103,            0.026127,           0.0027412,             0.86316,             0.87774,             0.93956,             0.62146,              0.0261,            0.018158,           0.0030544,            0.002872,            0.002872,            0.002872
                  38,             0.02566,            0.026303,           0.0024908,             0.87958,             0.89783,             0.94146,              0.6208,             0.02625,            0.018488,           0.0027869,            0.002674,            0.002674,            0.002674
                  39,            0.025527,            0.026088,           0.0025277,             0.86701,              0.8988,              0.9356,             0.62048,            0.026306,             0.01838,           0.0024935,            0.002476,            0.002476,            0.002476
                  40,             0.02514,            0.025144,           0.0020108,             0.86787,             0.89792,             0.94331,             0.63347,            0.026118,            0.018303,           0.0023781,            0.002278,            0.002278,            0.002278
                  41,            0.025067,            0.025647,           0.0024656,             0.88351,             0.90022,             0.94208,             0.62782,             0.02621,             0.01825,           0.0025737,             0.00208,             0.00208,             0.00208
                  42,            0.024273,            0.024258,           0.0022323,             0.85058,              0.9178,             0.94305,             0.62249,            0.026254,            0.018657,            0.002204,            0.001882,            0.001882,            0.001882
                  43,            0.024542,            0.024963,           0.0023048,             0.84736,             0.90364,             0.93855,             0.62524,            0.026065,             0.01847,           0.0024872,            0.001684,            0.001684,            0.001684
                  44,            0.024559,            0.024932,           0.0020375,             0.86437,             0.89998,             0.94015,             0.62123,            0.026098,            0.018539,           0.0025309,            0.001486,            0.001486,            0.001486
                  45,            0.024407,            0.024752,            0.001918,             0.86696,             0.89901,             0.93935,             0.62789,            0.025744,            0.018576,           0.0024997,            0.001288,            0.001288,            0.001288
                  46,            0.024277,            0.024783,            0.001643,             0.85888,             0.89927,             0.93628,             0.62649,            0.025646,            0.018478,           0.0024204,             0.00109,             0.00109,             0.00109
                  47,              0.0241,            0.023634,           0.0020937,             0.86973,             0.89984,             0.93825,             0.63527,            0.025758,            0.018454,           0.0024675,            0.000892,            0.000892,            0.000892
                  48,              0.0239,              0.0241,           0.0018849,             0.86478,             0.90741,             0.94089,             0.63174,            0.025562,            0.018386,           0.0024847,            0.000694,            0.000694,            0.000694
                  49,            0.023579,            0.024146,           0.0017692,             0.87144,             0.90501,             0.94047,             0.63278,            0.025496,            0.018529,           0.0024371,            0.000496,            0.000496,            0.000496
