               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.044372,             0.03406,           0.0066262,             0.84163,             0.77405,             0.84451,             0.48739,            0.037412,            0.022061,           0.0052604,           0.0006536,           0.0006536,           0.0006536
                  36,            0.044176,            0.033809,           0.0066132,             0.83489,             0.77842,             0.84414,             0.49321,            0.037263,            0.022011,           0.0051939,            0.000614,            0.000614,            0.000614
                  37,            0.044118,            0.034232,           0.0063974,             0.83332,             0.77983,             0.84593,             0.49283,            0.037237,            0.022003,           0.0051504,           0.0005744,           0.0005744,           0.0005744
                  38,            0.043918,            0.033575,           0.0065081,             0.84165,             0.77806,             0.84761,             0.49283,            0.037278,            0.022028,           0.0051084,           0.0005348,           0.0005348,           0.0005348
                  39,            0.044132,            0.034196,           0.0065172,             0.83835,              0.7809,             0.84732,             0.49232,            0.037219,            0.021991,           0.0050995,           0.0004952,           0.0004952,           0.0004952
                  40,            0.043789,            0.033757,           0.0064022,             0.84017,             0.77812,             0.84736,             0.49404,            0.037159,            0.021965,           0.0050785,           0.0004556,           0.0004556,           0.0004556
                  41,            0.043702,            0.034028,           0.0064397,               0.841,             0.78428,             0.84906,             0.49483,            0.037136,            0.021956,           0.0051583,            0.000416,            0.000416,            0.000416
                  42,            0.043756,            0.033978,           0.0062547,             0.84502,             0.77947,             0.85023,             0.49448,            0.037087,             0.02194,           0.0051606,           0.0003764,           0.0003764,           0.0003764
                  43,            0.043456,             0.03374,           0.0062147,             0.84653,             0.77799,             0.84948,             0.49528,            0.037047,            0.021933,           0.0050702,           0.0003368,           0.0003368,           0.0003368
                  44,            0.043591,            0.033911,           0.0062105,             0.84351,             0.77771,             0.84977,             0.49595,            0.037043,            0.021917,           0.0049801,           0.0002972,           0.0002972,           0.0002972
                  45,            0.043508,            0.033597,           0.0061304,             0.85121,             0.77753,             0.85062,             0.49675,            0.037058,            0.021919,            0.005028,           0.0002576,           0.0002576,           0.0002576
                  46,            0.043455,            0.033955,           0.0061641,             0.84967,             0.77704,             0.85108,             0.49818,            0.036998,            0.021901,           0.0050991,            0.000218,            0.000218,            0.000218
                  47,            0.043439,            0.033387,           0.0060164,             0.85055,             0.77758,             0.85149,             0.49822,            0.036998,            0.021904,           0.0051148,           0.0001784,           0.0001784,           0.0001784
                  48,             0.04331,            0.033787,           0.0061185,             0.85185,             0.77283,             0.85107,             0.49955,            0.036979,            0.021896,           0.0051236,           0.0001388,           0.0001388,           0.0001388
                  49,            0.043191,            0.033333,           0.0059954,             0.85009,             0.77629,             0.85118,             0.49935,            0.036977,             0.02189,           0.0051008,            9.92e-05,            9.92e-05,            9.92e-05
